Street Address,Unit #,Latitude,Longitude,Sold Price ($),Sold Date,SqFt,Price/SqFt ($),Property Type,Beds,Baths,Distance (mi),URL
3747 17th St,,37.762615,-122.42955,3100000.0,2025-11-18,2095.0,1479.71,CONDO,3.0,3.0,0.3,https://www.zillow.com/homedetails/3747-17th-St-San-Francisco-CA-94114/2078267597_zpid/
262 Hermann St,,37.770535,-122.429535,1770000.0,2025-10-08,1085.0,1631.34,SINGLE_FAMILY,2.0,2.0,0.31,https://www.zillow.com/homedetails/262-Hermann-St-San-Francisco-CA-94117/83153236_zpid/
67 Walter St,,37.768196,-122.432175,1150000.0,2025-09-19,1124.0,1023.13,CONDO,3.0,1.0,0.31,https://www.zillow.com/homedetails/67-Walter-St-San-Francisco-CA-94114/89238158_zpid/
3747-3749 17th St,,37.762547,-122.42953,3100000.0,2025-11-18,1397.0,2219.04,SINGLE_FAMILY,3.0,2.0,0.31,https://www.zillow.com/homedetails/3747-3749-17th-St-San-Francisco-CA-94114/241584740_zpid/
2260 Market St,,37.765114,-122.43239,3870000.0,2026-01-13,6167.0,627.53,MULTI_FAMILY,19.0,0.0,0.31,https://www.zillow.com/homedetails/2260-Market-St-San-Francisco-CA-94114/2080662924_zpid/
77 Webster St,,37.770805,-122.428764,575000.0,2026-02-04,899.0,639.6,CONDO,2.0,1.0,0.31,https://www.zillow.com/homedetails/77-Webster-St-San-Francisco-CA-94117/337887715_zpid/
3465 17th St,,37.76304,-122.423256,1010000.0,2026-02-09,774.0,1304.91,SINGLE_FAMILY,2.0,1.0,0.31,https://www.zillow.com/homedetails/3465-17th-St-San-Francisco-CA-94110/447176997_zpid/
2256 Market St,,37.765244,-122.43243,2500000.0,2026-01-13,6167.0,405.38,MULTI_FAMILY,3.0,0.0,0.31,https://www.zillow.com/homedetails/2256-Market-St-San-Francisco-CA-94114/447267424_zpid/
370 Sanchez St,,37.763206,-122.431046,2200000.0,2025-07-10,1560.0,1410.26,CONDO,2.0,2.0,0.32,https://www.zillow.com/homedetails/370-Sanchez-St-San-Francisco-CA-94114/15143772_zpid/
216 Dorland St #1/2,# 1/2,37.762276,-122.42924,1555000.0,2026-02-19,1145.0,1358.08,CONDO,2.0,2.0,0.32,https://www.zillow.com/homedetails/216-Dorland-St-1-2-San-Francisco-CA-94114/15144248_zpid/
71 Germania St,,37.77064,-122.42971,1365000.0,2025-05-23,1509.0,904.57,CONDO,3.0,3.0,0.32,https://www.zillow.com/homedetails/71-Germania-St-San-Francisco-CA-94117/53734178_zpid/
82 Henry St,,37.7668,-122.43283,1740000.0,2025-05-20,1312.0,1326.22,CONDO,2.0,2.0,0.32,https://www.zillow.com/homedetails/82-Henry-St-San-Francisco-CA-94114/2121064656_zpid/
82 Henry St #301,# 301,37.766933,-122.43281,1740000.0,2025-05-20,1514.0,1149.27,CONDO,3.0,2.0,0.32,https://www.zillow.com/homedetails/82-Henry-St-301-San-Francisco-CA-94114/15142985_zpid/
221 Noe St APT 3,Apt 3,37.76553,-122.43285,880000.0,2026-02-05,655.0,1343.51,SINGLE_FAMILY,1.0,1.0,0.33,https://www.zillow.com/homedetails/221-Noe-St-APT-3-San-Francisco-CA-94114/2060418888_zpid/
153-155 Noe St,,37.766563,-122.43303,1730000.0,2025-10-14,1920.0,901.04,MULTI_FAMILY,4.0,2.0,0.33,https://www.zillow.com/homedetails/153-155-Noe-St-San-Francisco-CA-94114/241584682_zpid/
62 Walter Street,,37.76808,-122.43261,1025000.0,2025-09-12,1215.0,843.62,CONDO,2.0,1.0,0.33,https://www.zillow.com/homedetails/62-Walter-St-San-Francisco-CA-94114/54854590_zpid/
50-52 Walter St,,37.768288,-122.432625,2505000.0,2025-08-19,3990.0,627.82,MULTI_FAMILY,,3.0,0.33,https://www.zillow.com/homedetails/50-52-Walter-St-San-Francisco-CA-94114/331537101_zpid/
